"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"DAI3JF5Y","journalArticle","2018","Röck, T.; Bartz-Schmidt, K.U.; Landenberger, J.; Bramkamp, M.; Röck, D.","Amniotic Membrane Transplantation in Reconstructive and Regenerative Ophthalmology","Ann Transplant","","","10.12659/aot.906856","","","2018","2022-01-29 21:21:22","2022-01-29 21:22:18","","160–165","","","23","","","","","","","","","","en","","","","","","","Publisher: International Scientific Information, Inc. Citation Key: rock2018","","/home/filipejunqueira/Zotero/storage/88TG6776/10.12659@AOT.906856.pdf.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5RHJC5VB","journalArticle","2020","Walkden, A.","Amniotic Membrane Transplantation in Ophthalmology: An Updated Perspective","Clin Ophthalmol","","","10.2147/OPTH.S208008","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7383023/","","2020","2022-01-29 21:21:22","2022-01-29 21:22:18","","2057–2072","","","14","","","","","","","","","","en","","","","","","","Citation Key: walkden2020","","/home/filipejunqueira/Zotero/storage/CXCQWLS7/walkden2020.pdf.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FD6WNRI6","journalArticle","2016","Malhotra, Chintan; Jain, Arun K.","Human amniotic membrane transplantation: Different modalities of its use in ophthalmology","Highlights of Ophthalmology","","","10.5005/highlights-44-4-2","","","2016","2022-01-29 21:21:22","2022-01-29 21:22:19","","2–14","","4ENG","44","","","","","","","","","","en","","","","","","","Publisher: Jaypee Brothers Medical Publishing Citation Key: malhotra2016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47THI7JA","journalArticle","2007","Sangwan, VirenderS; Burman, Sanghamitra; Tejwani, Sushma; Mahesh, SankaranarayanaPillai","Amniotic membrane transplantation: A review of current indications in the management of ophthalmic disorders","Indian Journal of Ophthalmology","","","10.4103/0301-4738.33036","","","2007","2022-01-29 21:21:22","2022-01-29 22:02:22","","251","","4","55","","","","","","","","","","en","","","","","","","Publisher: Medknow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YFW32VM8","journalArticle","1995","Kim, Jae Chan; Tseng, Scheffer C. G.","Transplantation of preserved human amniotic membrane for surface reconstruction in severely damaged rabbit corneas","Cornea","","","10.1097/00003226-199509000-00006","","","1995","2022-01-29 21:21:22","2022-01-29 21:22:20","","473–84","","5","14","","","","","","","","","","en","","","","","","","Publisher: Ovid Technologies (Wolters Kluwer Health) Citation Key: kim1995","","/home/filipejunqueira/Zotero/storage/CBXZE7NM/Kim and Tseng - 1995 - Transplantation of preserved human amniotic membra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY9VP9K8","journalArticle","2013","ALLEN, C.; CLARE, G.; STEWART, E.; BRANCH, M.; MCINTOSH, O.; VERMA, M.; DUA, HS; HOPKINSON, A.","Augmented dried versus cryopreserved amniotic membrane as an ocular surface dressing","Acta Ophthalmologica","","","10.1111/j.1755-3768.2013.s002.x","","","2013","2022-01-29 21:21:22","2022-01-29 21:22:18","","0–0","","10","8","","","","","","","","","","it","","","","","","","Publisher: Wiley Citation Key: allen2013","","/home/filipejunqueira/Zotero/storage/X6BJU5YF/ALLEN et al. - 2013 - Augmented dried versus cryopreserved amniotic memb.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"978W5LGC","journalArticle","2009","Gicquel, Jean-Jacques; Dua, Harminder S.; Brodie, Andrew; Mohammed, Imran; Suleman, Hanif; Lazutina, Elena; James, David K.; Hopkinson, Andrew","Epidermal growth factor variations in amniotic membrane used for ex vivo tissue constructs","Tissue Engineering Part A","","","10.1089/ten.tea.2008.0432","","","2009","2022-01-29 21:21:22","2022-01-29 21:22:19","","1919–1927","","8","15","","","","","","","","","","en","","","","","","","Publisher: Mary Ann Liebert Inc Citation Key: gicquel2009","","/home/filipejunqueira/Zotero/storage/DRZB9IIH/Gicquel et al. - 2009 - Epidermal growth factor variations in amniotic mem.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CLI8PFCA","journalArticle","2006","Hopkinson, Andrew; McIntosh, Richard S.; Shanmuganathan, Vijay; Tighe, Patrick J.; Dua, Harminder S.","Proteomic analysis of amniotic membrane prepared for human transplantation: characterization of proteins and clinical implications","Journal of Proteome Research","","","10.1021/pr050425q","","","2006","2022-01-29 21:21:22","2022-01-29 21:22:20","","2226–2235","","9","5","","","","","","","","","","es","","","","","","","Publisher: American Chemical Society (ACS) Citation Key: hopkinson2006","","/home/filipejunqueira/Zotero/storage/N9MBXCKQ/Hopkinson et al. - 2006 - Proteomic analysis of amniotic membrane prepared f.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AXE7KBSK","journalArticle","2006","Hopkinson, Andrew; McIntosh, Richard S.; Tighe, Patrick J.; James, David K.; Dua, Harminder S.","Amniotic membrane for ocular surface reconstruction: donor variations and the effect of handling on TGF-beta content","Investigative Opthalmology & Visual Science","","","10.1167/iovs.05-1415","","","2006","2022-01-29 21:21:22","2022-01-29 21:22:18","","4316","","10","47","","","","","","","","","","en","","","","","","","Publisher: Association for Research in Vision and Ophthalmology (ARVO) Citation Key: hopkinson2006a","","/home/filipejunqueira/Zotero/storage/GSMLJCHZ/Hopkinson et al. - 2006 - Amniotic membrane for ocular surface reconstructio.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y4F7A55Y","journalArticle","2009","Rodríguez-Ares, M. Teresa; López-Valladares, María J.; Touriño, Rosario; Vieites, Begoña; Gude, Francisco; Silva, María T.; Couceiro, José","Effects of lyophilization on human amniotic membrane","Acta Ophthalmologica","","","10.1111/j.1755-3768.2008.01261.x","","","2009","2022-01-29 21:21:22","2022-01-29 21:22:19","","396–403","","4","87","","","","","","","","","","en","","","","","","","Publisher: Wiley Citation Key: rodriguez-ares2009","","/home/filipejunqueira/Zotero/storage/3PJSVCFI/Rodríguez-Ares et al. - 2009 - Effects of lyophilization on human amniotic membra.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
