,ID,author,title,year,journal
0,roeck2018a,"Röck, T. and Bartz-Schmidt, K.U. and Landenberger, J. and Bramkamp, M. and Röck, D.",Amniotic Membrane Transplantation in Reconstructive and Regenerative Ophthalmology,2018,Ann Transplant
1,walkden2020a,"Walkden, A.",Amniotic Membrane Transplantation in Ophthalmology: An Updated Perspective,,Clin Ophthalmol
2,malhotra2014a,Chintan Malhotra and Arun K Jain,Human amniotic membrane transplantation: Different modalities of its use in ophthalmology,2016,Highlights of Ophthalmology
3,sangwan2007a,VirenderS Sangwan and Sanghamitra Burman and Sushma Tejwani and SankaranarayanaPillai Mahesh and Ramesh Murthy,Amniotic membrane transplantation: A review of current indications in the management of ophthalmic disorders,2007,Indian Journal of Ophthalmology
4,kim1995a,Jae Chan Kim and Scheffer C. G. Tseng,Transplantation of preserved human amniotic membrane for surface reconstruction in severely damaged rabbit corneas,1995,Cornea
5,allen2013a,C ALLEN and G CLARE and E STEWART and M BRANCH and O MCINTOSH and M VERMA and HS DUA and A HOPKINSON,Augmented dried versus cryopreserved amniotic membrane as an ocular surface dressing,2013,Acta Ophthalmologica
6,gicquel2009a,Jean-Jacques Gicquel and Harminder S. Dua and Andrew Brodie and Imran Mohammed and Hanif Suleman and Elena Lazutina and David K. James and Andrew Hopkinson,Epidermal growth factor variations in amniotic membrane used for ex vivo tissue constructs,2009,Tissue Engineering Part A
7,hopkinson2006a,Andrew Hopkinson and Richard S. McIntosh and Vijay Shanmuganathan and Patrick J. Tighe and Harminder S. Dua,Proteomic analysis of amniotic membrane prepared for human transplantation: characterization of proteins and clinical implications,2006,Journal of Proteome Research
8,hopkinson2006b,Andrew Hopkinson and Richard S. McIntosh and Patrick J. Tighe and David K. James and Harminder S. Dua,Amniotic membrane for ocular surface reconstruction: donor variations and the effect of handling on TGF-beta content,2006,Investigative Opthalmology {\&} Visual Science
9,rodr2009a,M. Teresa Rodr{\'{\i}}guez-Ares and Mar{\'{\i}}a J. L{\'{o}}pez-Valladares and Rosario Touri{\~{n}}o and Bego{\~{n}}a Vieites and Francisco Gude and Mar{\'{\i}}a T. Silva and Jos{\'{e}} Couceiro,Effects of lyophilization on human amniotic membrane,2009,Acta Ophthalmologica
